Date,Price
05/22/2020,33.25
05/21/2020,33.91
05/20/2020,33.52
05/19/2020,32.36
05/18/2020,31.83
05/15/2020,29.44
05/14/2020,27.4
05/13/2020,25.37
05/12/2020,25.76
05/11/2020,24.02
05/8/2020,24.73
05/7/2020,23.68
05/6/2020,23.88
05/5/2020,24.56
05/4/2020,20.47
05/1/2020,19.72
04/30/2020,19.23
04/29/2020,15.04
04/28/2020,12.4
04/27/2020,12.17
04/24/2020,15.99
04/23/2020,15.06
04/22/2020,13.64
04/21/2020,8.91
04/20/2020,-36.98
04/17/2020,18.31
04/16/2020,19.82
04/15/2020,19.96
04/14/2020,20.15
04/13/2020,22.36
04/9/2020,22.9
04/8/2020,24.97
04/7/2020,23.54
04/6/2020,26.21
04/3/2020,28.36
04/2/2020,25.18
04/1/2020,20.28
03/31/2020,20.51
03/30/2020,14.1
03/27/2020,15.48
03/26/2020,16.6
03/25/2020,20.75
03/24/2020,21.03
03/23/2020,23.33
03/20/2020,19.48
03/19/2020,25.09
03/18/2020,20.48
03/17/2020,26.96
03/16/2020,28.96
03/13/2020,31.72
03/12/2020,31.56
03/11/2020,33.13
03/10/2020,34.47
03/9/2020,31.05
03/6/2020,41.14
03/5/2020,45.9
03/4/2020,46.78
03/3/2020,47.27
03/2/2020,46.78
02/28/2020,44.83
02/27/2020,47.17
02/26/2020,48.67
02/25/2020,49.78
02/24/2020,51.36
02/21/2020,53.36
02/20/2020,53.77
02/19/2020,53.31
02/18/2020,52.1
02/14/2020,52.03
02/13/2020,51.41
02/12/2020,51.13
02/11/2020,50
02/10/2020,49.59
02/7/2020,50.34
02/6/2020,50.94
02/5/2020,50.87
02/4/2020,49.59
02/3/2020,50.06
01/31/2020,51.58
01/30/2020,52.19
01/29/2020,53.29
01/28/2020,53.33
01/27/2020,53.09
01/24/2020,54.09
01/23/2020,55.51
01/22/2020,56.76
01/21/2020,58.25
01/17/2020,58.55
01/16/2020,58.52
01/15/2020,57.86
01/14/2020,58.34
01/13/2020,58.17
01/10/2020,59.02
01/9/2020,59.56
01/8/2020,59.65
01/7/2020,62.7
01/6/2020,63.27
01/3/2020,63
01/2/2020,61.17
12/31/2019,61.14
12/30/2019,61.66
12/27/2019,61.76
12/26/2019,61.72
12/24/2019,61.17
12/23/2019,60.51
12/20/2019,60.43
12/19/2019,61.3
12/18/2019,60.93
12/17/2019,60.88
12/16/2019,60.21
12/13/2019,60.11
12/12/2019,59.18
12/11/2019,58.74
12/10/2019,59.22
12/9/2019,58.99
12/6/2019,59.2
12/5/2019,58.42
12/4/2019,58.46
12/3/2019,56.15
12/2/2019,55.97
11/29/2019,58.12
11/27/2019,58.12
11/26/2019,58.25
11/25/2019,57.79
11/22/2019,57.68
11/21/2019,58.36
11/20/2019,56.71
11/19/2019,54.93
11/18/2019,56.82
11/15/2019,57.54
11/14/2019,56.57
11/13/2019,56.88
11/12/2019,56.67
11/8/2019,57.02
11/7/2019,56.91
11/6/2019,56.15
11/5/2019,57.04
11/4/2019,56.33
11/1/2019,56.04
10/31/2019,54.02
10/30/2019,54.85
10/29/2019,55.34
10/28/2019,55.6
10/25/2019,56.52
10/24/2019,56.11
10/23/2019,55.9
10/22/2019,54.21
10/21/2019,53.28
10/18/2019,53.75
10/17/2019,53.89
10/16/2019,53.42
10/15/2019,52.81
10/14/2019,53.57
10/11/2019,54.76
10/10/2019,53.57
10/9/2019,52.63
10/8/2019,52.64
10/7/2019,52.76
10/4/2019,52.84
10/3/2019,52.41
10/2/2019,52.67
10/1/2019,53.6
09/30/2019,54.09
09/27/2019,55.95
09/26/2019,56.24
09/25/2019,56.38
09/24/2019,57.22
09/23/2019,58.69
09/20/2019,57.92
09/19/2019,58.19
09/18/2019,58.19
09/17/2019,59.26
09/16/2019,63.1
09/13/2019,54.76
09/12/2019,55.13
09/11/2019,55.66
09/10/2019,57.37
09/9/2019,57.88
09/6/2019,56.45
09/5/2019,56.33
09/4/2019,56.22
09/3/2019,53.91
08/30/2019,55.07
08/29/2019,56.67
08/28/2019,55.76
08/27/2019,54.99
08/26/2019,53.54
08/23/2019,54.08
08/22/2019,55.33
08/21/2019,55.65
08/20/2019,56.18
08/19/2019,56.24
08/16/2019,54.83
08/15/2019,54.51
08/14/2019,55.16
08/13/2019,57.05
08/12/2019,54.98
08/9/2019,54.41
08/8/2019,52.6
08/7/2019,51.14
08/6/2019,53.6
08/5/2019,54.63
08/2/2019,55.67
08/1/2019,53.64
07/31/2019,58.53
07/30/2019,58.04
07/29/2019,56.85
07/26/2019,56.04
07/25/2019,55.88
07/24/2019,55.9
07/23/2019,56.58
07/22/2019,55.87
07/19/2019,55.42
07/18/2019,55.08
07/17/2019,56.5
07/16/2019,57.44
07/15/2019,59.3
07/12/2019,59.99
07/11/2019,59.93
07/10/2019,60.28
07/9/2019,57.57
07/8/2019,57.35
07/3/2019,57.06
07/2/2019,56
07/1/2019,58.91
06/28/2019,58.2
06/27/2019,59.18
06/26/2019,59.17
06/25/2019,57.63
06/24/2019,57.73
06/21/2019,57.35
06/20/2019,56.88
06/19/2019,53.74
06/18/2019,53.86
06/17/2019,51.94
06/14/2019,52.47
06/13/2019,52.38
06/12/2019,51.13
06/11/2019,53.3
06/10/2019,53.33
06/7/2019,53.95
06/6/2019,52.59
06/5/2019,51.57
06/4/2019,53.5
06/3/2019,53.25
05/31/2019,53.49
05/30/2019,56.47
05/29/2019,58.84
05/28/2019,58.91
05/24/2019,58.4
05/23/2019,57.65
05/22/2019,61.42
05/21/2019,63.02
05/20/2019,63.12
05/17/2019,62.77
05/16/2019,62.93
05/15/2019,62.03
05/14/2019,61.82
05/13/2019,60.97
05/10/2019,61.65
05/9/2019,61.58
05/8/2019,62.13
05/7/2019,61.41
05/6/2019,62.3
05/3/2019,61.98
05/2/2019,61.75
05/1/2019,63.55
04/30/2019,63.83
04/29/2019,63.39
04/26/2019,63.29
04/25/2019,65.23
04/24/2019,65.96
04/23/2019,66.24
04/22/2019,65.66
04/18/2019,64.02
04/17/2019,63.74
04/16/2019,64.01
04/15/2019,63.43
04/12/2019,63.86
04/11/2019,63.61
04/10/2019,64.62
04/9/2019,64.05
04/8/2019,64.37
04/5/2019,63.1
04/4/2019,62.12
04/3/2019,62.46
04/2/2019,62.53
04/1/2019,61.59
03/29/2019,60.19
03/28/2019,59.29
03/27/2019,59.39
03/26/2019,59.87
03/25/2019,58.71
03/22/2019,58.87
03/21/2019,59.98
03/20/2019,60.12
03/19/2019,59.12
03/18/2019,59.09
03/15/2019,58.51
03/14/2019,58.59
03/13/2019,58.27
03/12/2019,56.89
03/11/2019,56.79
03/8/2019,55.77
03/7/2019,56.6
03/6/2019,56.22
03/5/2019,56.55
03/4/2019,56.6
03/1/2019,55.76
02/28/2019,57.21
02/27/2019,56.92
02/26/2019,55.4
02/25/2019,55.32
02/22/2019,57.01
02/21/2019,56.95
02/20/2019,56.9
02/19/2019,56.12
02/15/2019,55.58
02/14/2019,54.4
02/13/2019,53.84
02/12/2019,53.14
02/11/2019,52.43
02/8/2019,52.75
02/7/2019,52.68
02/6/2019,53.94
02/5/2019,53.69
02/4/2019,54.57
02/1/2019,55.29
01/31/2019,53.84
01/30/2019,54.18
01/29/2019,53.07
01/28/2019,51.79
01/25/2019,53.53
01/24/2019,52.94
01/23/2019,52.44
01/22/2019,52.59
01/18/2019,53.6
01/17/2019,51.83
01/16/2019,52.08
01/15/2019,51.8
01/14/2019,50.31
01/11/2019,51.44
01/10/2019,52.42
01/9/2019,52.19
01/8/2019,49.58
01/7/2019,48.27
01/4/2019,47.76
01/3/2019,46.92
01/2/2019,46.31
12/28/2018,45.15
12/27/2018,44.48
12/26/2018,46.04
12/21/2018,45.38
12/20/2018,45.64
12/19/2018,47.96
12/18/2018,46.12
12/17/2018,49.8
12/14/2018,51.26
12/13/2018,52.69
12/12/2018,51.04
12/11/2018,51.65
12/10/2018,51.07
12/7/2018,52.76
12/6/2018,51.54
12/5/2018,52.64
12/4/2018,53.21
12/3/2018,52.98
11/30/2018,50.78
11/29/2018,51.46
11/28/2018,50.06
11/27/2018,51.31
11/26/2018,51.46
11/21/2018,54.41
11/20/2018,53.39
11/19/2018,57.16
11/16/2018,56.49
11/15/2018,56.45
11/14/2018,56.16
11/13/2018,55.63
11/12/2018,59.85
11/9/2018,60.19
11/8/2018,60.71
11/7/2018,61.69
11/6/2018,62.16
11/5/2018,63.12
11/2/2018,63.12
11/1/2018,63.67
10/31/2018,65.31
10/30/2018,66.18
10/29/2018,67
10/26/2018,67.58
10/25/2018,67.25
10/24/2018,66.56
10/23/2018,66.49
10/22/2018,69.25
10/19/2018,69.16
10/18/2018,68.63
10/17/2018,69.63
10/16/2018,71.93
10/15/2018,71.84
10/12/2018,71.41
10/11/2018,70.97
10/10/2018,73.18
10/9/2018,74.95
10/8/2018,74.27
10/5/2018,74.26
10/4/2018,74.44
10/3/2018,76.4
10/2/2018,75.16
10/1/2018,75.37
09/28/2018,73.16
09/27/2018,72.18
09/26/2018,72.22
09/25/2018,73.4
09/24/2018,73.23
09/21/2018,70.8
09/20/2018,70.77
09/19/2018,71.08
09/18/2018,69.87
09/17/2018,68.86
09/14/2018,68.98
09/13/2018,68.6
09/12/2018,70.37
09/11/2018,69.29
09/10/2018,67.55
09/7/2018,67.73
09/6/2018,67.81
09/5/2018,68.69
09/4/2018,69.82
08/31/2018,69.84
08/30/2018,70.25
08/29/2018,69.68
08/28/2018,68.54
08/27/2018,69.97
08/24/2018,69.71
08/23/2018,69.13
08/22/2018,67.85
08/21/2018,67.32
08/20/2018,66.5
08/17/2018,65.93
08/16/2018,65.44
08/15/2018,65.07
08/14/2018,67.04
08/13/2018,67.25
08/10/2018,67.61
08/9/2018,66.81
08/8/2018,66.92
08/7/2018,69.17
08/6/2018,69.01
08/3/2018,68.49
08/2/2018,68.95
08/1/2018,68.8
07/31/2018,69.88
07/30/2018,71.19
07/27/2018,68.66
07/26/2018,71.59
07/25/2018,71.13
07/24/2018,70.77
07/23/2018,67.9
07/20/2018,70.31
07/19/2018,69.42
07/18/2018,68.78
07/17/2018,68.03
07/16/2018,68.22
07/13/2018,71.03
07/12/2018,70.28
07/11/2018,70.47
07/10/2018,74.11
07/9/2018,73.93
07/6/2018,73.78
07/5/2018,73.05
07/3/2018,74.19
07/2/2018,73.89
06/29/2018,74.13
06/28/2018,73.45
06/27/2018,77.41
06/26/2018,75.23
06/25/2018,69.91
06/22/2018,69.02
06/21/2018,65.68
06/20/2018,65.92
06/19/2018,65.09
06/18/2018,65.91
06/15/2018,65.01
06/14/2018,66.91
06/13/2018,66.63
06/12/2018,66.38
06/11/2018,66.1
06/8/2018,65.77
06/7/2018,65.96
06/6/2018,64.75
06/5/2018,65.51
06/4/2018,64.76
06/1/2018,65.81
05/31/2018,66.98
05/30/2018,68.24
05/29/2018,66.8
05/25/2018,67.92
05/24/2018,70.77
05/23/2018,71.85
05/22/2018,72.09
05/21/2018,72.26
05/18/2018,71.23
05/17/2018,71.47
05/16/2018,71.43
05/15/2018,71.34
05/14/2018,71.01
05/11/2018,70.69
05/10/2018,71.36
05/9/2018,71.16
05/8/2018,68.83
05/7/2018,70.74
05/4/2018,69.71
05/3/2018,68.45
05/2/2018,67.91
05/1/2018,67.28
04/30/2018,68.56
04/27/2018,68.11
04/26/2018,68.18
04/25/2018,68
04/24/2018,67.66
04/23/2018,67.61
04/20/2018,68.26
04/19/2018,68.3
04/18/2018,68.44
04/17/2018,66.5
04/16/2018,66.23
04/13/2018,67.35
04/12/2018,67.07
04/11/2018,66.81
04/10/2018,65.48
04/9/2018,63.4
04/6/2018,62.03
04/5/2018,63.53
04/4/2018,63.35
04/3/2018,63.41
04/2/2018,63.05
03/29/2018,64.87
03/28/2018,64.3
03/27/2018,65.21
03/26/2018,65.49
03/23/2018,65.8
03/22/2018,64.25
03/21/2018,65.1
03/20/2018,63.37
03/19/2018,62.01
03/16/2018,62.29
03/15/2018,61.16
03/14/2018,60.89
03/13/2018,60.69
03/12/2018,61.35
03/9/2018,62.02
03/8/2018,60.13
03/7/2018,61.09
03/6/2018,62.54
03/5/2018,62.49
03/2/2018,61.19
03/1/2018,60.98
02/28/2018,61.43
02/27/2018,62.94
02/26/2018,63.81
02/23/2018,63.52
02/22/2018,62.72
02/21/2018,61.73
02/20/2018,61.91
02/16/2018,61.89
02/15/2018,61.48
02/14/2018,60.7
02/13/2018,59.33
02/12/2018,59.41
02/9/2018,59.2
02/8/2018,61.3
02/7/2018,61.91
02/6/2018,63.48
02/5/2018,64.18
02/2/2018,65.5
02/1/2018,65.92
01/31/2018,64.82
01/30/2018,64.64
01/29/2018,65.71
01/26/2018,66.27
01/25/2018,65.62
01/24/2018,65.69
01/23/2018,64.45
01/22/2018,63.66
01/19/2018,63.38
01/18/2018,63.96
01/17/2018,63.92
01/16/2018,63.82
01/12/2018,64.22
01/11/2018,63.81
01/10/2018,63.6
01/9/2018,62.92
01/8/2018,61.73
01/5/2018,61.49
01/4/2018,61.98
01/3/2018,61.61
01/2/2018,60.37
12/29/2017,60.46
12/28/2017,59.84
12/27/2017,59.67
12/26/2017,59.55
12/22/2017,58.25
12/21/2017,58.34
12/20/2017,58.09
12/19/2017,57.49
12/18/2017,57.17
12/15/2017,57.29
12/14/2017,57
12/13/2017,56.59
12/12/2017,57.12
12/11/2017,57.84
12/8/2017,57.15
12/7/2017,56.5
12/6/2017,55.79
12/5/2017,57.66
12/4/2017,57.48
12/1/2017,58.35
11/30/2017,57.4
11/29/2017,57.25
11/28/2017,57.96
11/27/2017,58.1
11/24/2017,58.94
11/22/2017,57.88
11/21/2017,56.84
11/20/2017,56.21
11/17/2017,56.21
11/16/2017,55.14
11/15/2017,55.28
11/14/2017,55.67
11/13/2017,56.77
11/10/2017,56.75
11/9/2017,57.16
11/8/2017,56.82
11/7/2017,57.19
11/6/2017,57.34
11/3/2017,55.63
11/2/2017,54.55
11/1/2017,54.32
10/31/2017,54.36
10/30/2017,54.11
10/27/2017,53.92
10/26/2017,52.41
10/25/2017,51.97
10/24/2017,52.32
10/23/2017,51.91
10/20/2017,51.63
10/19/2017,51.29
10/18/2017,52.05
10/17/2017,51.87
10/16/2017,51.86
10/13/2017,51.43
10/12/2017,50.61
10/11/2017,51.3
10/10/2017,50.93
10/9/2017,49.58
10/6/2017,49.34
10/5/2017,50.79
10/4/2017,50
10/3/2017,50.44
10/2/2017,50.59
09/29/2017,51.67
09/28/2017,51.62
09/27/2017,52.14
09/26/2017,51.59
09/25/2017,51.85
09/22/2017,50.33
09/21/2017,50.58
09/20/2017,50.29
09/19/2017,49.54
09/18/2017,49.88
09/15/2017,49.9
09/14/2017,49.86
09/13/2017,49.3
09/12/2017,48.21
09/11/2017,48.06
09/8/2017,47.44
09/7/2017,49.1
09/6/2017,49.13
09/5/2017,48.63
09/1/2017,47.32
08/31/2017,47.26
08/30/2017,45.96
08/29/2017,46.46
08/28/2017,46.4
08/25/2017,47.65
08/24/2017,47.24
08/23/2017,48.45
08/22/2017,47.65
08/21/2017,47.39
08/18/2017,48.59
08/17/2017,47.07
08/16/2017,46.8
08/15/2017,47.57
08/14/2017,47.59
08/11/2017,48.81
08/10/2017,48.54
08/9/2017,49.59
08/8/2017,49.07
08/7/2017,49.37
08/4/2017,49.57
08/3/2017,49.03
08/2/2017,49.6
08/1/2017,49.19
07/31/2017,50.21
07/28/2017,49.72
07/27/2017,49.05
07/26/2017,48.58
07/25/2017,47.77
07/24/2017,46.21
07/21/2017,45.78
07/20/2017,46.73
07/19/2017,47.1
07/18/2017,46.4
07/17/2017,46.02
07/14/2017,46.53
07/13/2017,46.06
07/12/2017,45.48
07/11/2017,45.06
07/10/2017,44.4
07/7/2017,44.25
07/6/2017,45.52
07/5/2017,45.11
06/30/2017,46.02
06/29/2017,44.88
06/28/2017,44.74
06/27/2017,44.25
06/26/2017,43.24
06/23/2017,42.86
06/22/2017,42.53
06/21/2017,42.48
06/20/2017,43.34
06/19/2017,44.24
06/16/2017,44.73
06/15/2017,44.47
06/14/2017,44.79
06/13/2017,46.41
06/12/2017,46.1
06/9/2017,45.82
06/8/2017,45.68
06/7/2017,45.8
06/6/2017,48.13
06/5/2017,47.4
06/2/2017,47.68
06/1/2017,48.32
05/31/2017,48.29
05/30/2017,49.63
05/26/2017,49.58
05/25/2017,48.57
05/24/2017,50.99
05/23/2017,51.12
05/22/2017,50.81
05/19/2017,50.32
05/18/2017,49.36
05/17/2017,49.04
05/16/2017,48.64
05/15/2017,48.86
05/12/2017,47.83
05/11/2017,47.81
05/10/2017,47.28
05/9/2017,45.84
05/8/2017,46.46
05/5/2017,46.23
05/4/2017,45.55
05/3/2017,47.79
05/2/2017,47.65
05/1/2017,48.83
04/28/2017,49.31
04/27/2017,48.96
04/26/2017,49.22
04/25/2017,49.22
04/24/2017,48.9
04/21/2017,49.64
04/20/2017,50.26
04/19/2017,50.49
04/18/2017,52.46
04/17/2017,52.62
04/13/2017,53.19
04/12/2017,53.12
04/11/2017,53.38
04/10/2017,53.06
04/7/2017,52.25
04/6/2017,51.69
04/5/2017,51.14
04/4/2017,50.99
04/3/2017,50.25
03/31/2017,50.54
03/30/2017,50.3
03/29/2017,49.47
03/28/2017,48.36
03/27/2017,47.02
03/24/2017,47.3
03/23/2017,47
03/22/2017,47.29
03/21/2017,47.02
03/20/2017,47.79
03/17/2017,48.34
03/16/2017,48.3
